,0,1
222,346,64290127187576
223,346,642801406084
224,346,6443992518464
225,346,6444491842891
226,346,6433007344672
227,346,6434505327016
228,346,6511400015049
229,346,65111503624917
230,346,65188895750714
231,346,6519388877922
232,346,6516143406821
233,346,651689236223
234,346,6400550742627
235,346,6401299747987
236,346,64080407816607
237,346,6409538785583
238,346,6416279787212
239,346,64170287857746
240,345,67919131922054
241,345,67926663672824
242,345,6781870826492
243,345,6781619766601
244,345,6790155782418
245,345,6789151547451
246,345,67919131922054
247,345,67926663672824
248,345,6781870826492
249,345,6781619766601
250,345,6790155782418
251,345,6789151547451
252,345,66814439600205
253,345,6681192885542
254,345,66814439600205
255,345,6681192885542
256,345,66786821387484
257,345,66786821387484
258,345,67650497332
259,345,6764045483646
260,345,67650497332
261,345,6764045483646
262,345,6754002956011
263,345,6754002956011
264,345,829760773404
265,345,8298360253416
266,345,8287574111073
267,345,8287323269752
268,345,8295851854224
269,345,82948484935287
270,345,84481050924956
271,345,8448857546379
272,345,84531214455365
273,345,84543755315235
274,345,84613983962413
275,345,84619000283436
276,345,8337741643709
277,345,83374908096664
278,345,8352791619684
279,345,8354045778435
280,345,83500324672275
281,345,8351537460022
282,345,84212673565344
283,345,8420264068609
284,345,84363166055664
285,345,8436818244945
286,345,84252805024164
287,345,842678542972
288,345,829760773404
289,345,8298360253416
290,345,8287574111073
291,345,8287323269752
292,345,8295851854224
293,345,82948484935287
294,345,84481050924956
295,345,8448857546379
296,345,84531214455365
297,345,84543755315235
298,345,84613983962413
299,345,84619000283436
300,345,8337741643709
301,345,83374908096664
302,345,8352791619684
303,345,8354045778435
304,345,83500324672275
305,345,8351537460022
306,345,84212673565344
307,345,8420264068609
308,345,84363166055664
309,345,8436818244945
310,345,84252805024164
311,345,842678542972
312,345,7183519951957
313,345,7183268950398
314,345,7183519951957
315,345,7183268950398
316,345,7180758932809
317,345,7180758932809
318,345,73341143161554
319,345,7333863336462
320,345,73491730310366
321,345,73504279180224
322,345,7346412276462
323,345,734791814314
324,345,73341143161554
325,345,7333863336462
326,345,73491730310366
327,345,73504279180224
328,345,7346412276462
329,345,734791814314
330,345,73062553477985
331,345,73062553477985
332,345,7321314305366
333,345,7322820193907
334,345,7321314305366
335,345,7322820193907
336,345,8019905725113
337,345,8018902204276
338,345,8019905725113
339,345,8018902204276
340,345,80088669638786
341,345,80088669638786
342,345,8170427254838
343,345,8169423821359
344,345,8185478687144
345,345,81859803992984
346,345,8174440982931
347,345,8175946128563
348,345,8170427254838
349,345,8169423821359
350,345,8185478687144
351,345,81859803992984
352,345,8174440982931
353,345,8175946128563
354,345,8059042583428
355,345,8059042583428
356,345,80740949853623
357,345,80756002183483
358,345,80740949853623
359,345,80756002183483
360,346,51320202317186
361,346,51327697855766
362,346,5129521716515
363,346,51300214198443
364,346,51377668030125
365,346,5137516952483
366,346,50570632082247
367,346,5057812794513
368,346,50470686933977
369,346,50468188297884
370,346,50553141722924
371,346,5054314722395
372,346,50295781537136
373,346,50300778858696
374,346,50220821540813
375,346,5021832286869
376,346,502757922365
377,346,50268296242814
378,346,51127815717115
379,346,51125317175786
380,346,510528593206
381,346,51042865109895
382,346,5102537522729
383,346,5101787955791
384,346,6630480186046
385,346,6631229092052
386,346,66279838303575
387,346,6628483101783
388,346,6636221790485
389,346,66359721559047
390,346,67053691849446
391,346,6706118058594
392,346,671036166983
393,346,6711609788805
394,346,67185992384543
395,346,67190984837794
396,346,6677910261035
